symbol,side,entry_ts,exit_ts,entry_px,exit_px,qty,gross_pnl,cost,net_pnl,return_pct,hold_days
RGTI,LONG,2025-09-15 09:35:00,2025-09-19 09:35:00,19.075,24.78,105,599.0250000000002,5.106810594375,593.9181894056252,29.90825688073395,4.0
IONQ,LONG,2025-09-18 09:35:00,2025-09-19 09:35:00,68.57,65.98,192,-497.2799999999979,28.65010824,-525.9301082399979,-3.7771620242088244,1.0
GLD,LONG,2025-09-18 09:35:00,2025-09-19 09:35:00,336.22,336.51,1,0.2899999999999636,0.74607438825,-0.45607438825003643,0.08625304859912752,1.0
CRDO,LONG,2025-08-12 09:35:00,2025-09-19 09:35:00,119.18,172.84,5,268.29999999999995,1.6192874025000004,266.68071259749996,45.024332941768755,38.0
APLD,LONG,2025-09-16 09:35:00,2025-09-19 09:35:00,19.35,19.89,23,12.41999999999998,1.000917243,11.41908275699998,2.7906976744185963,3.0
ALAB,LONG,2025-08-26 09:35:00,2025-09-19 09:35:00,174.5,245.31,1,70.81,1.0942872412500002,69.71571275875,40.57879656160459,24.0
ONDS,LONG,2025-08-28 09:35:00,2025-09-19 09:35:00,5.25,6.55,141,183.29999999999998,1.845195795,181.454804205,24.761904761904763,22.0
SNDK,LONG,2025-09-18 09:35:00,2025-09-22 09:35:00,97.3,105.76,8,67.68000000000006,2.52017766,65.15982234000006,8.694758478931153,4.0
RGTI,LONG,2025-09-15 09:35:00,2025-09-22 09:35:00,19.075,26.33,56,406.28,2.8198956870000007,403.460104313,38.03407601572739,7.0
ONDS,LONG,2025-08-28 09:35:00,2025-09-22 09:35:00,5.25,6.82,34,53.38000000000001,0.45512167950000004,52.92487832050001,29.9047619047619,25.0
GLD,LONG,2025-09-19 09:35:00,2025-09-22 09:35:00,336.51,342.75,2,12.480000000000018,1.506632643,10.973367357000019,1.8543282517607285,3.0
APP,LONG,2025-09-19 09:35:00,2025-09-22 09:35:00,628.48,647.05,1,18.569999999999936,1.41459465825,17.155405341749937,2.954747963340121,3.0
APLD,LONG,2025-09-16 09:35:00,2025-09-23 09:35:00,19.35,25.01,265,1499.9,13.037032485000001,1486.862967515,29.25064599483205,7.0
WDC,LONG,2025-08-29 09:35:00,2025-09-23 09:35:00,81.57,112.48,16,494.5600000000002,3.23512398,491.32487602000015,37.893833517224486,25.0
RGTI,LONG,2025-09-15 09:35:00,2025-09-23 09:35:00,19.075,29.39,24,247.56000000000003,1.2899735190000003,246.27002648100003,54.07601572739189,8.0
GLD,LONG,2025-09-22 09:35:00,2025-09-23 09:35:00,342.75,348.23,1,5.480000000000018,0.7663140945000001,4.713685905500018,1.5988329686360325,1.0
CRDO,LONG,2025-08-12 09:35:00,2025-09-24 09:35:00,119.18,158.99,2,79.62,0.6169949685,79.00300503150001,33.403255579795264,43.0
CRDO,LONG,2025-08-21 09:35:00,2025-09-24 09:35:00,105.84,158.99,1,53.150000000000006,0.29370309075000006,52.856296909250005,50.217309145880584,34.0
