symbol,side,entry_ts,exit_ts,entry_px,exit_px,qty,gross_pnl,cost,net_pnl,return_pct,hold_days
DGII,LONG,2025-12-08 09:35:00,2025-12-12 09:35:00,45.78,45.93,201,30.149999999999714,99.92775938175001,-69.77775938175029,0.327653997378774,4.0
LITE,LONG,2025-12-10 09:35:00,2025-12-12 09:35:00,365.19,341.475,25,-592.8749999999993,24.076518215625004,-616.9515182156243,-6.493879898135213,2.0
FIVE,LONG,2025-12-10 09:35:00,2025-12-16 09:35:00,177.16,177.87,53,37.63000000000042,46.87165527524999,-9.24165527524957,0.40076766764507443,6.0
JNJ,LONG,2025-12-05 09:35:00,2025-12-16 09:35:00,202.66,209.385,45,302.6249999999998,10.876288314375,291.74871168562476,3.3183657357149787,11.0
NTRA,LONG,2025-12-09 09:35:00,2025-12-16 09:35:00,235.58,227.79,39,-303.8100000000008,43.29146592225,-347.1014659222508,-3.3067323202309318,7.0
CRH,LONG,2025-12-11 09:35:00,2025-12-17 09:35:00,126.51,124.8,75,-128.2500000000006,20.903180456250002,-149.1531804562506,-1.3516718046004295,6.0
DGII,LONG,2025-12-15 09:35:00,2025-12-18 09:35:00,45.2,43.33,209,-390.83000000000095,100.30212846225,-491.13212846225093,-4.1371681415929284,3.0
RL,LONG,2025-12-16 09:35:00,2025-12-19 09:35:00,372.9,365.41,25,-187.2499999999988,26.595771974999998,-213.8457719749988,-2.0085813891123516,3.0
FIVE,LONG,2025-12-17 09:35:00,2025-12-22 09:35:00,181.85,187.71,51,298.8600000000007,46.948800770999995,251.91119922900072,3.222436073687107,5.0
CRH,LONG,2025-12-18 09:35:00,2025-12-22 09:35:00,127.4,126.31,73,-79.57000000000025,20.540063490750004,-100.11006349075025,-0.855572998430143,4.0
CM,LONG,2025-12-18 09:35:00,2025-12-22 09:35:00,92.8,92.5,101,-30.299999999999713,8.986151294999999,-39.28615129499971,-0.3232758620689613,4.0
HL,LONG,2025-12-19 09:35:00,2025-12-23 09:35:00,20.5,20.38,465,-55.800000000000466,14.52492972,-70.32492972000047,-0.5853658536585371,4.0
ASM,LONG,2025-12-22 09:35:00,2025-12-29 09:35:00,6.97,6.76,1397,-293.36999999999995,37.300441686750005,-330.67044168674994,-3.012912482065999,7.0
