symbol,side,entry_ts,exit_ts,entry_px,exit_px,qty,gross_pnl,cost,net_pnl,return_pct,hold_days
MSTR,LONG,2025-05-01 09:35:00,2025-07-01 09:35:00,392.29,395.7,3,10.229999999999905,1.708441119,8.521558880999905,0.8692548879655204,61.0
MSTR,LONG,2025-05-01 09:35:00,2025-08-01 09:35:00,392.29,390.405,49,-92.36500000000234,27.7170301485,-120.08203014850234,-0.4805118662214336,92.0
MSTR,LONG,2025-06-02 09:35:00,2025-08-01 09:35:00,367.885,390.405,12,270.2399999999998,6.576194195999999,263.66380580399976,6.121478179322337,60.0
PLTR,LONG,2025-06-02 09:35:00,2025-08-01 09:35:00,131.435,155.05,6,141.69000000000005,0.6021771457499999,141.08782285425005,17.96705595921939,60.0
GEV,LONG,2025-05-01 09:35:00,2025-08-01 09:35:00,383.34,638.18,4,1019.3599999999999,6.100926047999999,1013.2590739519999,66.47884384619398,92.0
CVNA,LONG,2025-06-02 09:35:00,2025-08-01 09:35:00,326.24,380.99,2,109.5,0.9719461889999998,108.528053811,16.78212358999509,60.0
HOOD,LONG,2025-08-01 09:35:00,2025-09-02 09:35:00,97.8,100.34,1,2.5400000000000063,0.09977339699999999,2.4402266030000064,2.597137014314943,32.0
APP,LONG,2025-04-01 09:35:00,2025-09-02 09:35:00,264.22,464.0,12,2397.3599999999997,9.691370226000002,2387.668629774,75.61123306335628,154.0
CVNA,LONG,2025-06-02 09:35:00,2025-09-02 09:35:00,326.24,362.04,70,2506.000000000001,33.106612139999996,2472.893387860001,10.973516429622364,92.0
HOOD,LONG,2025-08-01 09:35:00,2025-10-01 09:35:00,97.8,141.26,36,1564.5599999999997,4.333631867999999,1560.2263681319996,44.437627811860935,61.0
APP,LONG,2025-04-01 09:35:00,2025-10-01 09:35:00,264.22,714.835,12,5407.38,13.029557656500002,5394.3504423435,170.54537885095752,183.0
GEV,LONG,2025-05-01 09:35:00,2025-11-03 09:35:00,383.34,590.5,42,8700.720000000001,61.069701167999995,8639.650298832,54.04079929044714,186.0
GEV,LONG,2025-09-02 09:35:00,2025-11-03 09:35:00,590.55,590.5,4,-0.1999999999998181,7.0537030199999995,-7.253703019999818,-0.008466683600028002,62.0
GEV,LONG,2025-10-01 09:35:00,2025-11-03 09:35:00,599.64,590.5,10,-91.39999999999986,17.76998034,-109.16998033999987,-1.5242478820625682,33.0
HOOD,LONG,2025-08-01 09:35:00,2025-11-03 09:35:00,97.8,148.79,9,458.90999999999997,1.1175335505,457.79246644949995,52.13701431492843,94.0
PLTR,LONG,2025-06-02 09:35:00,2025-11-03 09:35:00,131.435,205.045,19,1398.5899999999997,2.239669764,1396.3503302359998,56.004869327043785,154.0
SNOW,LONG,2025-11-03 09:35:00,2025-12-01 09:35:00,277.73,249.09,122,-3494.0800000000017,141.242628303,-3635.3226283030017,-10.312173693875348,28.0
